No,Barcode,HBM,Core,Channel,Bank,Failed_Test,failed_address,failed_address_count,Fail_mode,CDC-SID0,CDC-SID1,CDC-SID2,PFA,Report,Status,Defect_type_Log,Defect_location_Log,Defect_type_PFA,Defect_location_PFA,Assessment
61,TZNBVV75ML413LS10007,H,12,N1,D1,Scan,[0x39d3],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
62,TZNBVV75ML413LS10007,H,12,N1,H1,Scan,"[0x1d6, 0x285d]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
63,TZNBVV75ML413LS10007,H,12,O1,A1,Scan,[0xe99],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
64,TZNBVV75ML413LS10007,H,12,P0,H0,Scan,[0x405],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
65,TZNBVV89LE415LS10002,B,7,K1,K1,Scan,[0x372d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
66,TZNBVV90LR414LS10027,D,7,I0,I0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,Done,"MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10, FA2024-0184",,Die edge crack,Left_2,Die Edge crack & Delamination,Left_2,
67,TZNBVV75ML413LS10007,D,7,J0,I0,March & Scan,"[0xb1f, 0x2c0d]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
68,TZNBVV75ML413LS10007,D,7,J0,L0,March & Scan,"[0xc7b, 0x71]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
69,TZNBVV75ML413LS10007,D,7,J0,M0,March & Scan,[0x33f3],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
70,TZNBVV75ML413LS10007,D,7,J1,I1,Scan,[0x2144],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
